age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
Adult,Private,HS-grad,Separated,Other-service,Unmarried,Black,Female,None,None,Lazy,United-States,Low
YoungAdult,Federal-gov,9th,Married-civ-spouse,Farming-fishing,Husband,Black,Male,None,None,Working,United-States,Low
Adult,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,None,High,Working,United-States,Low
Adult,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,None,None,Working,United-States,Low
Adult,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,None,None,HardWorking,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Own-child,Black,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Divorced,Exec-managerial,Own-child,White,Male,None,High,Working,United-States,Low
YoungAdult,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,Some-college,Married-civ-spouse,Other-service,Husband,Black,Male,None,None,Lazy,United-States,Low
Adult,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,None,None,Working,Puerto-Rico,Low
YoungAdult,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,None,None,Working,United-States,Low
Adult,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Working,United-States,Low
Adult,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,None,None,Working,United-States,High
Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Working,United-States,Low
Adult,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Other,Female,None,None,Working,United-States,Low
Adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,High,Motivated,Honduras,High
Adult,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,High
Adult,Self-emp-inc,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Working,United-States,High
Adult,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,Puerto-Rico,Low
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,High,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,High,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Some-college,Divorced,Tech-support,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Working,United-States,High
Adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Separated,Sales,Own-child,Black,Female,None,None,Working,United-States,Low
YoungAdult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,HardWorking,United-States,High
YoungAdult,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,None,None,Working,United-States,Low
Senior,Private,Some-college,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,None,None,Working,United-States,Low
Child,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,None,None,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,Cuba,Low
Adult,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,High,None,Working,United-States,High
Adult,Private,HS-grad,Divorced,Sales,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,9th,Never-married,Sales,Not-in-family,White,Male,None,None,Working,United-States,Low
Adult,Federal-gov,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Motivated,United-States,High
Adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Divorced,Craft-repair,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,Black,Female,None,None,Working,United-States,Low
YoungAdult,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Local-gov,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,High,Motivated,United-States,High
YoungAdult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,None,None,Working,England,Low
YoungAdult,Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,None,None,Working,United-States,Low
Senior,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,High,None,Motivated,United-States,High
Adult,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Working,United-States,High
YoungAdult,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,High
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,High,Motivated,Canada,High
YoungAdult,Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,High,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Private,9th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Working,United-States,High
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Exec-managerial,Own-child,Black,Male,None,None,Working,Germany,Low
YoungAdult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,Black,Male,None,None,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,None,High,Working,United-States,Low
YoungAdult,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,None,High,Working,United-States,Low
YoungAdult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,High,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,Black,Female,None,None,Working,United-States,Low
YoungAdult,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,Iran,High
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Own-child,White,Male,None,None,Lazy,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,None,None,Working,United-States,High
Senior,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Sales,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Other-service,Own-child,White,Male,None,None,Working,Mexico,Low
Adult,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Female,None,High,Working,United-States,High
Senior,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Transport-moving,Unmarried,Black,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,None,None,Working,United-States,Low
Senior,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,High,Working,United-States,Low
Adult,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Working,Mexico,Low
YoungAdult,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,None,None,Working,Philippines,Low
YoungAdult,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,None,None,Working,United-States,Low
Senior,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,None,High,Lazy,United-States,Low
YoungAdult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Private,Bachelors,Separated,Other-service,Other-relative,Black,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,None,None,Working,United-States,Low
Adult,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,None,None,Working,England,Low
Adult,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,None,None,Working,Mexico,Low
YoungAdult,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,State-gov,Masters,Widowed,Protective-serv,Unmarried,White,Male,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,None,None,Lazy,United-States,Low
Senior,Local-gov,Assoc-voc,Widowed,Prof-specialty,Not-in-family,White,Female,None,None,Lazy,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,None,High,Working,United-States,Low
YoungAdult,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,None,High,Working,United-States,High
YoungAdult,Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,HS-grad,Married-spouse-absent,Sales,Unmarried,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Black,Male,None,None,Working,United-States,Low
Child,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,None,None,Lazy,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,HardWorking,United-States,Low
Adult,Local-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,None,None,Working,United-States,High
Adult,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,Mexico,High
YoungAdult,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,None,None,Working,United-States,Low
Adult,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Motivated,United-States,Low
Adult,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Lazy,United-States,High
YoungAdult,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,United-States,Low
Adult,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,Black,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Motivated,United-States,Low
Adult,Federal-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,5th-6th,Married-civ-spouse,Transport-moving,Other-relative,White,Male,None,None,Working,Mexico,Low
YoungAdult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Federal-gov,Masters,Never-married,Exec-managerial,Not-in-family,White,Female,High,None,Motivated,United-States,High
YoungAdult,Private,Masters,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,High,None,Working,United-States,High
YoungAdult,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,None,High,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,United-States,High
Adult,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,None,High,Working,United-States,Low
YoungAdult,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,None,None,Working,United-States,Low
Child,Private,11th,Never-married,Sales,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,High,None,Working,United-States,High
YoungAdult,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Motivated,United-States,Low
Adult,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,High,None,Working,United-States,High
Child,Private,11th,Never-married,Sales,Own-child,White,Female,None,None,Lazy,United-States,Low
Adult,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Some-college,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,None,None,Working,United-States,Low
Adult,Self-emp-inc,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,None,None,Motivated,United-States,High
Adult,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,Poland,Low
Adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,None,None,Working,United-States,Low
Senior,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Male,None,High,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,None,None,Lazy,United-States,Low
Adult,Local-gov,Preschool,Never-married,Machine-op-inspct,Not-in-family,White,Female,None,None,Working,United-States,Low
Child,Private,HS-grad,Never-married,Sales,Own-child,White,Female,None,None,Working,United-States,Low
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,High,None,Motivated,United-States,Low
Senior,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,None,None,Lazy,Columbia,Low
Senior,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,11th,Separated,Transport-moving,Not-in-family,Black,Male,High,None,Working,United-States,Low
Adult,Private,HS-grad,Divorced,Sales,Unmarried,Black,Female,None,None,Working,United-States,Low
YoungAdult,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Divorced,Craft-repair,Other-relative,Other,Female,None,None,Working,United-States,Low
YoungAdult,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,None,None,Motivated,United-States,High
Adult,State-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Motivated,Iran,High
YoungAdult,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,HardWorking,United-States,High
YoungAdult,Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,None,None,Working,United-States,High
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,None,None,Lazy,United-States,Low
YoungAdult,State-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,None,None,Motivated,United-States,Low
YoungAdult,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,None,High,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,None,None,Motivated,United-States,High
YoungAdult,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,None,High,Motivated,United-States,High
Adult,Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,None,None,Working,United-States,High
Adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,None,None,Working,United-States,Low
Adult,Local-gov,10th,Widowed,Other-service,Unmarried,Black,Female,None,None,Working,United-States,Low
YoungAdult,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Male,None,None,Working,United-States,Low
Adult,Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Male,None,None,Lazy,United-States,Low
Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,None,None,Working,Cambodia,High
YoungAdult,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,None,None,Working,United-States,Low
YoungAdult,Private,HS-grad,Separated,Other-service,Not-in-family,White,Female,None,None,Working,United-States,Low
Adult,Private,Assoc-voc,Widowed,Exec-managerial,Not-in-family,White,Female,None,None,Motivated,United-States,Low
Adult,Private,7th-8th,Divorced,Craft-repair,Not-in-family,White,Male,None,None,Working,United-States,Low
YoungAdult,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,None,None,Working,United-States,Low
Adult,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,None,None,Motivated,United-States,Low
Child,Private,11th,Never-married,Other-service,Own-child,White,Male,None,None,Lazy,United-States,Low
Adult,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,High,None,Working,United-States,Low
YoungAdult,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,None,None,Working,United-States,Low
YoungAdult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,None,None,HardWorking,Thailand,High
Senior,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,High
YoungAdult,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,None,None,Motivated,United-States,Low
YoungAdult,Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,None,None,Working,United-States,High
Senior,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,None,None,Working,United-States,High
Child,Private,9th,Never-married,Other-service,Own-child,White,Male,Low,None,Working,United-States,Low
